t,x,y
7.198778E+00,2.261757E-03,-3.113157E-02
7.232256E+00,2.5184E-03,-3.236604E-02
7.265744E+00,2.386152E-03,-3.380467E-02
7.299222E+00,2.780876E-03,-3.504852E-02
7.3327E+00,2.738222E-03,-3.640255E-02
7.366189E+00,3.056372E-03,-3.781604E-02
7.399667E+00,3.350013E-03,-3.915428E-02
7.433144E+00,3.727405E-03,-4.046404E-02
7.466633E+00,4.178709E-03,-4.192021E-02
7.500111E+00,4.559893E-03,-4.338505E-02
7.5336E+00,4.766596E-03,-4.472662E-02
7.567078E+00,4.821673E-03,-4.613736E-02
7.600556E+00,5.33031E-03,-4.777868E-02
7.634044E+00,5.491355E-03,-4.894472E-02
7.667522E+00,5.460012E-03,-5.032389E-02
7.701011E+00,5.304813E-03,-5.158332E-02
7.734489E+00,5.263877E-03,-5.296274E-02
7.767967E+00,4.553238E-03,-5.432577E-02
7.801456E+00,4.254606E-03,-5.57424E-02
7.834933E+00,-3.931892E-04,-5.778254E-02
7.868411E+00,-6.954976E-04,-5.911992E-02
7.9019E+00,-9.879476E-04,-6.045725E-02
7.935378E+00,-1.371567E-03,-6.202125E-02
7.968867E+00,-1.602368E-03,-6.374E-02
8.002344E+00,-1.424959E-03,-6.529393E-02
8.035822E+00,-1.708907E-03,-6.707647E-02
8.069311E+00,-1.729411E-03,-6.840097E-02
8.102789E+00,-1.675823E-03,-7.004464E-02
8.136278E+00,-1.918487E-03,-7.172701E-02
8.169756E+00,-2.271759E-03,-7.390891E-02
8.203233E+00,-2.373071E-03,-7.568931E-02
8.236722E+00,-1.927849E-03,-7.740897E-02
8.2702E+00,-1.988496E-03,-7.95033E-02
8.303678E+00,-1.784603E-03,-8.118148E-02
8.337167E+00,-1.614151E-03,-8.342397E-02
8.370644E+00,-1.487738E-03,-8.524302E-02
8.404133E+00,-1.055207E-03,-8.723678E-02
8.437611E+00,-1.008597E-03,-8.89743E-02
8.471089E+00,-5.921933E-04,-9.113907E-02
8.504578E+00,-5.919139E-04,-9.314457E-02
8.538056E+00,-1.450098E-04,-9.518904E-02
8.571544E+00,1.298864E-06,-9.687441E-02
8.605022E+00,3.917204E-04,-9.911355E-02
8.6385E+00,4.829101E-04,-1.010389E-01
8.671989E+00,4.827466E-04,-1.030156E-01
8.705467E+00,4.344492E-04,-1.050213E-01
8.738944E+00,4.761056E-04,-1.069884E-01
8.772433E+00,3.520136E-04,-1.090031E-01
8.805911E+00,1.785167E-04,-1.111173E-01
8.8394E+00,1.857038E-04,-1.133164E-01
8.872878E+00,-3.160354E-04,-1.153418E-01
8.906356E+00,-2.369808E-04,-1.172052E-01
8.939844E+00,-7.31277E-04,-1.19393E-01
8.973322E+00,-6.266399E-04,-1.21388E-01
