t,y,vy,ay
4.756111E0,-9.526265E-2,-4.632601E-2,2.578553E-1
4.772800E0,-9.591379E-2,-3.425634E-2,1.734593E-1
4.789489E0,-9.640605E-2,-3.887983E-2,-8.893447E-1
4.806178E0,-9.721152E-2,-6.492209E-2,-4.201229E-1
4.822867E0,-9.857300E-2,-5.949466E-2,7.248786E-1
4.839544E0,-9.919665E-2,-3.271675E-2,3.457716E-1
4.856233E0,-9.966465E-2,-4.704807E-2,-2.114553E-1
4.872922E0,-1.007670E-1,-4.838228E-2,-6.953112E-2
4.889611E0,-1.012795E-1,-4.024306E-2,-1.789310E-1
4.906300E0,-1.021102E-1,-5.837415E-2,-3.300821E-1
4.922989E0,-1.032279E-1,-5.418274E-2,3.200606E-1
4.939678E0,-1.039187E-1,-4.263145E-2,4.488126E-1
4.956367E0,-1.046509E-1,-4.169443E-2,1.355525E-1
4.973056E0,-1.053104E-1,-3.758455E-2,1.477488E-1
4.989744E0,-1.059054E-1,-3.641242E-2,-3.097618E-1
5.006433E0,-1.065258E-1,-4.701217E-2,-4.294858E-1
5.023122E0,-1.074745E-1,-5.387481E-2,1.716553E-1
5.039811E0,-1.083240E-1,-4.051118E-2,3.143297E-1
5.056500E0,-1.088267E-1,-3.951673E-2,-1.881340E-1
5.073178E0,-1.096425E-1,-5.071110E-2,-1.467590E-1
5.089867E0,-1.105188E-1,-4.469334E-2,4.703689E-1
5.106556E0,-1.111343E-1,-3.305596E-2,-2.338643E-1
5.123244E0,-1.116221E-1,-4.961024E-2,-4.879654E-1
5.139933E0,-1.127902E-1,-5.749764E-2,3.773335E-3
5.156622E0,-1.135412E-1,-4.325335E-2,4.030526E-1
5.173311E0,-1.142339E-1,-4.485080E-2,-2.471905E-3
5.190000E0,-1.150383E-1,-4.499973E-2,-1.509004E-1
5.206689E0,-1.157359E-1,-4.765821E-2,-8.329520E-2
5.223378E0,-1.166290E-1,-5.036137E-2,2.068724E-1
5.240067E0,-1.174168E-1,-4.003901E-2,3.222693E-1
5.256756E0,-1.179654E-1,-3.736552E-2,-2.383688E-1
5.273444E0,-1.186640E-1,-4.924776E-2,2.146269E-2
5.290133E0,-1.196092E-1,-4.043275E-2,5.225102E-1
5.306822E0,-1.200136E-1,-2.589969E-2,-2.649138E-1
5.323500E0,-1.204734E-1,-4.901417E-2,-5.748264E-1
5.340189E0,-1.216490E-1,-5.339627E-2,5.830840E-2
5.356878E0,-1.222556E-1,-3.877204E-2,1.776220E-1
5.373567E0,-1.229431E-1,-4.942006E-2,-2.297686E-1
5.390256E0,-1.239052E-1,-4.959523E-2,-2.354082E-2
5.406944E0,-1.245985E-1,-4.608250E-2,2.444189E-1
5.423633E0,-1.254433E-1,-4.472556E-2,-2.208453E-1
5.440322E0,-1.260913E-1,-4.958521E-2,-2.882177E-1
5.457011E0,-1.270983E-1,-5.852014E-2,-3.094810E-1
5.473700E0,-1.280446E-1,-5.771422E-2,4.243428E-1
5.490389E0,-1.290247E-1,-4.663357E-2,6.504902E-1
5.507078E0,-1.296011E-1,-3.266937E-2,-8.014287E-2
5.523767E0,-1.301151E-1,-4.803901E-2,-6.342788E-1
5.540456E0,-1.312046E-1,-5.981383E-2,-2.245352E-1
5.557144E0,-1.321116E-1,-5.187918E-2,-4.972207E-2
5.573822E0,-1.329356E-1,-6.004212E-2,4.508968E-1
5.590511E0,-1.341150E-1,-4.402109E-2,6.807810E-1
5.607200E0,-1.344049E-1,-2.682216E-2,3.901439E-1
5.623889E0,-1.350103E-1,-3.735126E-2,-5.954989E-1
5.640578E0,-1.356516E-1,-4.475404E-2,-4.977462E-1
5.657267E0,-1.365040E-1,-5.504960E-2,-4.596517E-1
5.673956E0,-1.374891E-1,-6.016482E-2,2.510782E-1
5.690644E0,-1.385122E-1,-4.828794E-2,2.654994E-1
5.707333E0,-1.391008E-1,-4.590111E-2,2.746803E-1
5.724022E0,-1.400443E-1,-4.558199E-2,2.742608E-2
5.740711E0,-1.406222E-1,-3.962431E-2,-1.446267E-1
5.757400E0,-1.413669E-1,-5.230285E-2,-5.087730E-1
5.774089E0,-1.423680E-1,-5.832562E-2,2.787826E-1
5.790778E0,-1.433136E-1,-4.334707E-2,3.053434E-1
5.807456E0,-1.438143E-1,-4.275953E-2,-3.635048E-1
5.824144E0,-1.447404E-1,-6.031736E-2,-3.293721E-1
5.840833E0,-1.458276E-1,-5.477573E-2,2.782189E-1
5.857522E0,-1.465687E-1,-4.700687E-2,4.968500E-1
5.874211E0,-1.473966E-1,-4.156547E-2,-1.131382E-1
5.890900E0,-1.479560E-1,-4.628991E-2,-2.138720E-2
5.907589E0,-1.489416E-1,-4.857354E-2,-6.431379E-1
5.924278E0,-1.495773E-1,-5.983148E-2,1.158274E-2
5.940967E0,-1.509387E-1,-5.910586E-2,1.918647E-1
5.957656E0,-1.515501E-1,-4.299455E-2,4.545676E-1
5.974344E0,-1.523737E-1,-4.921571E-2,-7.278908E-2
